Store;Alamat;Kota;Jam Operational;Email
Supermall Karawaci;Supermall Karawaci Unit 09 Ug Jl Boulevard Diponegoro 105, Kab. Tangerang;Kabupaten Tangerang;10.00 - 22.00 WIB;supermall.karawaci@chateraise.co.id
Lippo Mall Kemang;Lippo Mall Kemang Lt. Gf Unit Iv 05 Jl. Kemang Vi No. 6;Jakarta Selatan;10.00 - 22.00 WIB;lippomall.kemang@chateraise.co.id
Margo City;Margo City Mall Lt. Lg Unit 28 Jl. Margo Raya No.358;Depok;10.00 - 22.00 WIB;margocity@chateraise.co.id
Living World Alam Sutera;Living World Alam Sutera Lt. Gf Unit G-Ic-12F. Jl. Alam Sutera Boulevard Kav.2, Kota Tangsel;Tangerang Selatan;10.00 - 22.00 WIB;chateraise.livingworld@chateraise.co.id
Bintaro Xchange;Bintaro Jaya Xchange Mall Unit Gf/1.1.2 Cbd Bintaro Jaya Blok 0-2 Sektor Vii, Kota Tangsel;Tangerang Selatan;10.00 - 22.00 WIB;bintaroxchange@chateraise.co.id
Grand Metropolitan Bekasi;Grand Metro Politan Bekasi Lt. Lg2 Unit No. 4A, Jl. Kh. Noer Ali, Pekayon Jaya, Kota Bekasi;Bekasi;10.00 - 22.00 WIB;grandmetropolitan@chateraise.co.id
Cibinong City Mall;Jl. Tegar Beriman No.1, Pakansari, Cibinong Lantai 1 C6-Ab, Kabupaten Bogor;Bogor;10.00 - 22.00 WIB;cibinongcitymall@chateraise.co.id
Mall of Serang;Mall Of Serang Lt. Gf 18B. Jl. Akses Tol Serang Timur, Kota Serang;Banten;10.00 - 22.00 WIB;mallofserang@chateraise.co.id
RS Siloam Karawaci;Siloam Hospital Karawaci Lobby Unit Gf-2-07 Lippo Village, Kab. Tangerang;Kabupaten Tangerang;07.00 - 20.00 WIB;store.siloam@chateraise.co.id
Mall Artha Gading;Mall Artha Gading Unit Gf/00/336, Jl. Artha Gading Sel. No.1, Klp. Gading Bar., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240;Jakarta Utara;10.00 - 22.00 WIB;arthagading@chateraise.co.id
Trans Studio Mall (TSM) Bandung;Trans Studio Mall Bandung, Lt. Gf A073, Jl. Gatot Subroto No. 289;Bandung;10.00 - 22.00 WIB;tsm.bandung@chateraise.co.id
23 Paskal hyper square;23 Paskal Hyper Square, Jl. Pasir Kaliki 25-27, Unit L2-74;Bandung;10.00 - 22.00 WIB;paskal23@chateraise.co.id
Pluit Village;Pluit Village Lt. Gf-102A, Jl. Pluit Indah No. 12, Pluit, Jakarta Utara;Jakarta Utara;10.00 - 22.00 WIB;pluit.village@chateraise.co.id
Plaza Blok M;Plaza Blok M, Lt. Lg Unit K-18,19,30, Jl. Bulungan No. 76, Jakarta Selatan;Jakarta Selatan;10.00 - 22.00 WIB;blokm@chateaise.co.id
One Satrio;Cbd, Jl. Mega Kuningan Jl. Prof. Dr. Satrio No.Kav. E, Rt.5/Rw.3, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12949  (One Satrio E-9A, 9B);Jakarta Selatan;10.00 - 22.00 WIB;onesatrio@chateraise.co.id
Botani Square;Jl.  Raya Pajajaran No.40, Tugu Kujang Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16127, Lt. GF-D;Bogor;10.00 - 22.00 WIB;botani.square@chateraise.co.id
Mal Ciputra Jakarta;Letjen S. Parman St, North Tanjung Duren, Grogol Petamburan, West Jakarta City, Jakarta 11470, Unit LG-49;Jakarta Barat;10.00 - 22.00 WIB;malciputragrogol@chateraise.co.id
Lippo Mall Puri;"Jl. Puri Indah Raya, RT.3/RW.2, Kembangan Sel., Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610
Lantai LG-IA-12 Lippo mall Puri";Jakarta Barat;10.00 - 22.00 WIB;lippomallpuri@chateraise.co.id
The Breeze BSD City;" Jl. BSD Green Office Park Jl. BSD Grand Boulevard, Sampora, BSD, Kabupaten Tangerang, Banten 15345
Unit: IU09";Kabupaten Tangerang;10.00 - 22.00 WIB;thebreeze@chateraise.co.id
Commune RDTX;COMMUNE RDTX Place, Jl. Prof. DR. Satrio No.Kav. 3, RT.17/RW.4, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12930, Lantai GF;Jakarta Selatan;07.00 - 19.00 WIB;rdtxtower@chateraise.co.id
Grand Outlet East Jakarta - Karawang;Kawasan Industri Taman Niaga Karawang Prima, Jalan Trans Heksa KM 2+500, Kavling C9 Desa Wanasari, Kacamatan Telukjambe Barat-Karawang 41361 (2nd floor unit 365);Karawang;10.00 - 22.00 WIB;grandkarawang@chateraise.co.id
Kuningan City;Jl.Prof.Dr.Satrio No.Kav.18 Rt 14/Rw 4 Kuningan,Karet Kuningan,Kecamatan Setiabudi Kota Jakarta Selatan 12940 (Lt. LG);Jakarta Selatan;10.00 - 22.00 WIB;kuningancity@chateraise.co.id
Metropolitan Mall Bekasi;Jl. Letkol . M. Moeffreni Moe�min, Pekayon Jaya, Bekasi Selatan, Kota Bekasi (Unit LD IU 04 II);Bekasi;10.00 - 22.00 WIB;metropolitanbekasi@chateraise.co.id
HIVE KHI;Jl. Harapan Indah Boulevard, Pusaka Rakyat, Kec. Tarumajaya, Kota Bekasi, Jawa Barat, Indonesia 17214 (Unit A1 dan A2);Bekasi;10.00 - 22.00 WIB;hivekhi@chateraise.co.id
Emporium Pluit;Jl. Pluit Selatan Raya No.1, 4th Floor Lot 41, Penjaringan, North Utara, Daerah Khusus Ibukota Jakarta 14440;Jakarta Utara;10.00 - 22.00;emporiumpluit@chateraise.co.id
Mall Taman Anggrek;"Mall Taman Anggrek, Unit Gl-E33
Letjen S. Parman No.Kav 21, Rt.12/Rw.1, Tanjung Duren Selatan, Kec. Grogol Petamburan, Kota Jakarta Barat, Dki Jakarta, 11470";Jakarta Barat;10.00 - 22.00;tamananggrek@chateraise.co.id
AEON MALL Deltamas;GF Floor - Unit G117, Jl. Ganesha Boulevard, Area Komersial Sektor 2.1, Kota Deltamas, Hegarmukti � Cikarang Pusat, Kabupaten Bekasi � Propinsi Jawa Barat, Indonesia 17531;Kabupaten Bekasi;10.00 - 22.00;aeondeltamas@chateraise.co.id
Festival Citilink Bandung;"GF Floor - Unit GF-43 (depan lobby utama)
Jl. Peta No.241, Suka Asih, Kec. Bojongloa Kaler, Kota Bandung, Jawa Barat 40232";Bandung;10.00 - 22.00;festivalcitylink@chateraise.co.id
The Barn BSD City;Unit RD - 3, Jl. BSD Boulevard Utara, Lengkong Kulon, Kec. Pagedangan, Kabupaten Tangerang, Banten 15331;Kabupaten Tangerang;10.00 - 22.00;thebarnbsd@chateraise.co.id
Summarecon Mall Bandung;Unit 1F - 876 (1st Floor), Jl. Grand Bulevar No 1 Kelurahan Rancabolang Kecamatan Gedebage Kota Bandung, Jawa Barat-40294;Bandung;10.00 - 22.00;sumaba@chateraise.co.id
Grand Kota Bintang;Jalan Kota Bintang Boulevard Number W15 Unit GF8, RT. 004/RW.002, Kelurahan Jakasampurna, Kecamatan Bekasi Barat, Kota Bekasi, Provinsi Jawa barat. Kode pos 17145;Bekasi;10.00 - 22.00;kotabintang@chateraise.co.id
Cikini Terrace 27;Jl. Raden Saleh Raya No.27, RT.2/RW.3, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330;Jakarta Pusat;09.00 - 22.00;cikiniterace@chateraise.co.id
Trans Studio Mall Cibubur;Ground Floor Jl. Alternatif Cibubur No.230 A, Harjamukti, Kec. Cimanggis, Kota Depok, Jawa Barat 16454;Depok;10.00 - 22.00;tsmcibubur@chateraise.co.id
Living World Kota Wisata;Living World Kota Wisata Lower Ground Unit IC10, Jl. Boulevard Kota Wisata, Ciangsana, Kec. Gn. Putri, Kabupaten Bogor, Jawa Barat 16968;Kabupaten Bogor;10.00 - 22.00;livingkotwis@chateraise.co.id
Cihampelas Walk;"Unit : GF - 02 - A
Jl. Cihampelas No.160, Cipaganti, Kecamatan Coblong, Kota Bandung, Jawa Barat 40131";Bandung;10.00 - 22.00;cihampelaswalk@chateraise.co.id
Senayan Park;"Lower Ground, unit: LG - 59
Jl. Gerbang Pemuda No.3, RT.1/RW.3, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270";Jakarta Pusat;10.00 - 22.00;senayanpark@chateraise.co.id
Plaza Bintaro Jaya;"Ground Floor, unit: GF - E. 09
Jl. Bintaro Utama 3A No.81, Pd. Karya, Kec. Pd. Aren, Kota Tangerang Selatan, Banten 15225";Tangerang Selatan;10.00 - 22.00;bintaroplaza@chateraise.co.id
Millennium Mall (Plaza Atrium Senen);"Ground Floor, unit GF - 01.D
Jl. Senen Raya No.135, Senen, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10410";Jakarta Pusat;10.00 - 22.00;millenniummall@chateraise.co.id
Tangcity Mall;"Ground Floor, Unit: GF-0012 EX 
Jl. Jenderal Sudirman No.1, Cikokol, Kec. Tangerang, Kota Tangerang, Banten 15117";Kota Tangerang;10.00 - 22.00;tangerangcity@chateraise.co.id
Lotte Shopping Avenue;"Lower Ground, Unit: LG-18 (Ex. The Body Shop)
Jl. Prof. DR. Satrio Kav. 3-5, Karet Kuningan, Kecamatan Setiabudi, Daerah Khusus Ibukota Jakarta 12940";Jakarta Selatan;10.00 - 22.00 WIB;lottesavenue@chateraise.co.id
Siloam Hospitals Kebon Jeruk;"Ground Floor
Jl. Perjuangan No.Kav.8, Kb. Jeruk, Kec. Kb. Jeruk, Jakarta, Daerah Khusus Ibukota Jakarta 11530";Jakarta Barat;07.00 - 20.00 WIB;siloamkebonjeruk@chateraise.co.id
Cipete;"Jl. Cipete Raya No. 95 RT 003 RW 04
Cipete Selatan, Cilandak, Jakarta Selatan";Jakarta Selatan;08.00 - 22.00 WIB;store.cipeteraya@chateraise.co.id
